,Community Name,Community Code,Venue Name,Venue ID,Lat,Long,Categories
36,MANCHESTER INDUSTRIAL,MNI,Dutch Cash & Carry,4b50c00ff964a520c73027e3,51.020800989711205,-114.02233600616455,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Restaurants', 'name': 'Restaurant', 'id': '4bf58dd8d48988d1c4941735', 'shortName': 'Restaurant'}]"
38,EAST FAIRVIEW INDUSTRIAL,EFV,The Keg Steakhouse + Bar,4b0586e7f964a520e07322e3,50.99054230954866,-114.07095336900285,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Steakhouses', 'name': 'Steakhouse', 'id': '4bf58dd8d48988d1cc941735', 'shortName': 'Steakhouse'}]"
39,EAST FAIRVIEW INDUSTRIAL,EFV,Smuggler's Inn,4b0586e7f964a5202f7422e3,50.99202861339054,-114.07074226894635,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/steakhouse_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Steakhouses', 'name': 'Steakhouse', 'id': '4bf58dd8d48988d1cc941735', 'shortName': 'Steakhouse'}]"
40,EAST FAIRVIEW INDUSTRIAL,EFV,Bolero,4bd7626935aad13a8fc58ef3,50.992366574675366,-114.07089722628092,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Brazilian Restaurants', 'name': 'Brazilian Restaurant', 'id': '4bf58dd8d48988d16b941735', 'shortName': 'Brazilian'}]"
41,EAST FAIRVIEW INDUSTRIAL,EFV,Phil & Sebastian Coffee Roaster,4ca4d97f7f84224b96e5d058,51.00042560750507,-114.0732895713657,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Cafés', 'name': 'Café', 'id': '4bf58dd8d48988d16d941735', 'shortName': 'Café'}]"
43,EAST FAIRVIEW INDUSTRIAL,EFV,Fratello Analog Cafe,4dbc72d10cb691071ca3d001,50.984817516242686,-114.05143747194398,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Coffee Shops', 'name': 'Coffee Shop', 'id': '4bf58dd8d48988d1e0931735', 'shortName': 'Coffee Shop'}]"
45,EAST FAIRVIEW INDUSTRIAL,EFV,Tango Bistro,4ba56b9cf964a5205e0539e3,50.99217345314099,-114.07091905803837,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/tapas_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Tapas Restaurants', 'name': 'Tapas Restaurant', 'id': '4bf58dd8d48988d1db931735', 'shortName': 'Tapas'}]"
48,EAST FAIRVIEW INDUSTRIAL,EFV,Sidewalk Citizen Bakery,4daf1e3f6a23e6c93498b0f8,51.005044378182895,-114.06708344500097,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bagels_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Bagel Shops', 'name': 'Bagel Shop', 'id': '4bf58dd8d48988d179941735', 'shortName': 'Bagels'}]"
51,EAST FAIRVIEW INDUSTRIAL,EFV,Cheesecake Cafe,4b915ccef964a5204bb633e3,50.98573000118743,-114.07079741989092,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'American Restaurants', 'name': 'American Restaurant', 'id': '4bf58dd8d48988d14e941735', 'shortName': 'American'}]"
59,EAST FAIRVIEW INDUSTRIAL,EFV,Tom's House of Pizza,4b5ca0b8f964a520c93a29e3,50.98530851759652,-114.07089644302425,"[{'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}, 'primary': True, 'pluralName': 'Pizza Places', 'name': 'Pizza Place', 'id': '4bf58dd8d48988d1ca941735', 'shortName': 'Pizza'}]"
